"","inegi.code","year","indicator","value","state","code","region","inegi leading","state long","state caps","state caps sa","state.new","state.new.long"
"194",2,1981,"total population",1233139,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"195",2,1982,"total population",1284901,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"196",2,1983,"total population",1337584,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"197",2,1984,"total population",1391111,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"198",2,1985,"total population",1445385,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"199",2,1986,"total population",1500456,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"200",2,1987,"total population",1556368,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"201",2,1988,"total population",1612920,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"202",2,1989,"total population",1670019,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"203",2,1990,"total population",1734105,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"204",2,1991,"total population",1805548,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"205",2,1992,"total population",1877992,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"206",2,1993,"total population",1951205,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"207",2,1994,"total population",2025123,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"208",2,1995,"total population",2099602,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"209",2,1996,"total population",2176804,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"210",2,1997,"total population",2256820,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"211",2,1998,"total population",2337309,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"212",2,1999,"total population",2418123,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"213",2,2000,"total population",2493675,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"214",2,2001,"total population",2565903,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"215",2,2002,"total population",2640732,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"216",2,2003,"total population",2716612,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"217",2,2004,"total population",2792913,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"218",2,2005,"total population",2870428,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"219",2,2006,"total population",2939646,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"220",2,2007,"total population",3000933,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"221",2,2008,"total population",3064928,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"222",2,2009,"total population",3130426,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"223",2,2010,"total population",3183653,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"224",2,2011,"total population",3222606,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
